KIC,Teff_spec,e_Teff_spec,[M/H],e_[M/H],Dnu,e_Dnu,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_mag,astrometric_params_solved,nu_eff_used_in_astrometry,pseudocolour,ecl_lat,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,rpgeo,ebv,phot_g_mean_mag_corr,logg,Teff,e_Teff,luminosity,e_luminosity,numax_yu,e_numax_yu,numax,e_numax
7265067,4772.2695,100,-0.22140154,0.06,5.002,0.012,285.692862019546,0.0073651862,42.87827490117123,0.008119028,0.5287860606629027,0.008405692,12.777425,11.518637,12.221813,31,1.4599339,,64.81257505341206,10.597,0.026,10.016,0.031,9.948,0.023,1862.62097,0.04,12.221813,2.5924031522232256,4666,100,42.3917672428734,2.273297445153002,48.54,0.42,47.66444084809322,0.312665831328784
7265189,5027.324,100,-0.9007015,0.06,8.508,0.016,285.74201550707784,0.010881848,42.86197153535964,0.011932753,0.7366389813652563,0.012544902,12.469471,11.398321,12.019001,31,1.5009897,,64.78768539454123,10.645,0.027,10.165,0.03,10.059,0.021,1316.00134,0.04,12.019001,2.848711082985684,5065,100,24.359105045159534,1.3575670949149892,85.33,0.62,84.59768132708888,0.451812573496402
7265993,4966.628,100,0.02908745,0.06,13.788,0.016,286.12073942610283,0.0074424488,42.8388786966262,0.008794464,0.7361677690826538,0.008878509,13.212006,12.052212,12.710157,31,1.4793593,,64.69431690548068,11.208,0.023,10.715,0.018,10.617,0.011,1337.75745,0.049999997,12.710157,3.177161675835299,4914,100,13.536052876093546,0.6146182412717289,182.89,1.61,179.29719772232087,1.31986442608768
7267119,4646.9277,100,-0.25851154,0.06,8.24,0.015,286.61143879748454,0.009429018,42.8027423156052,0.010148988,0.680918768954444,0.010622463,13.145157,11.922223,12.610348,31,1.46799,,64.56528712061409,11.022,0.023,10.503,0.022,10.39,0.017,1446.90723,0.06,12.610348,2.829840584122478,4784,100,18.26693933297953,0.9487066916461248,84.98,0.56,84.22557440013233,0.558323415768883
7267593,4590.177,100,-0.02270855,0.06,5.088,0.017,286.8030679236214,0.0076447884,42.80545351982623,0.00887772,0.5660985602109342,0.008926766,12.971994,11.672568,12.39274,31,1.4523351,,64.53048981242682,10.719,0.02,10.15,0.018,10.038,0.012,1744.29907,0.049999997,12.39274,2.5749147932759655,4620,100,33.099813300308526,1.6975556713864393,47.54,1.05,47.16772399849552,0.56496685778589
7270142,4608.4727,100,0.11378845,0.06,5.44,0.014,287.845118012513,0.009057981,42.83018879680969,0.011579333,0.856195730452809,0.011006625,12.287166,10.886521,11.649141,31,1.4333338,,64.34445396999504,9.867,0.021,9.313,0.02,9.139,0.011,1129.50781,0.03,11.649141,2.627478884357145,4445,100,28.33956293589639,1.29271661775436,53.55,0.66,52.78441822778747,0.495326397971077
7270385,4947.654,100,-0.31277156,0.06,9.864,0.027,287.9464183694198,0.008621836,42.80320941023593,0.010776962,0.5884449882032979,0.010734687,13.230272,12.086825,12.739267,31,1.4842241,,64.29760993229465,11.266,0.021,10.761,0.023,10.647,0.011,1665.38501,0.06,12.739267,2.9614933208184357,4951,100,21.186800456492104,1.1963111652361589,111.52,0.77,110.9982877837967,0.616660818352099
7272257,4577.868,100,-0.25164154,0.06,3.021,0.013,288.68132386347514,0.00720732,42.81234163626102,0.008954561,0.4849691609244281,0.008434777,12.573766,11.246058,11.978781,31,1.4471174,,64.15138522786924,10.266,0.021,9.657,0.02,9.542,0.011,1970.56201,0.07,11.978781,2.275852108693403,4579,100,66.30225906385257,3.5772895082280805,23.91,0.41,23.520555979086875,0.3039026031522
7273672,4460.2344,100,-0.04032755,0.06,2.752,0.015,289.1820553752807,0.011533089,42.81162099257978,0.012370269,0.6381799194219842,0.012846772,11.98772,10.593136,11.352439,31,1.4342824,,64.04218012040894,9.565,0.021,8.953,0.019,8.818,0.014,1492.98254,0.08,11.352439,2.2134252249406527,4499,100,70.6765216388859,4.1970010688317885,20.98,0.37,20.58751801383787,0.248715514925185
7288241,4735.2437,100,-0.48215154,0.06,7.441,0.017,293.71169654769045,0.0116095105,42.87912444409976,0.01137159,0.5269946553354361,0.012730043,13.561447,12.311082,13.011317,31,1.4637057,,63.0224603114434,11.401,0.021,10.821,0.017,10.732,0.016,1828.37341,0.089999996,13.011317,2.7782813598029477,4774,100,21.522217294989304,1.4709924093996616,74.76,0.55,73.93347892488805,0.373731240617698
7295725,4870.326,100,0.01979345,0.06,7.574,0.015,295.69640438758165,0.0101665305,42.85756244950485,0.010265792,0.9258876498396802,0.011544489,11.96228,10.699255,11.404406,31,1.4597273,,62.47428138350566,9.773,0.021,9.255,0.019,9.124,0.012,1038.72791,0.14999999,11.404406,2.8534718361098834,4912,100,33.680201972119704,1.532012143283186,87.65,0.79,86.712248320177,0.642772054453891
7297940,5020.471,100,0.01845145,0.06,8.104,0.023,296.2375791255985,0.009242673,42.80599690605318,0.010018775,0.8184528474728349,0.011664918,12.214195,10.927219,11.643498,31,1.4549,,62.27741568089535,9.965,0.019,9.468,0.017,9.348,0.014,1178.13794,0.17999999,11.643498,2.9241640913409044,4938,100,36.24798489290792,1.7140523244138492,101.59,1.32,98.46296284780236,0.920432327322502
7298034,4865.6562,100,0.09801045,0.06,9.678,0.015,296.2616613117372,0.008424903,42.89752047831122,0.010286983,0.6327298844905074,0.010580805,13.462324,12.083371,12.839275,31,1.4382559,,62.35543767726439,11.067,0.019,10.514,0.017,10.383,0.014,1554.07434,0.17999999,12.839275,2.9859490707501757,4756,100,21.70713472464313,1.1466105744580712,118.97,1.01,116.853180342163,1.0220424347703
